CENTRO,CARRERA,ASPIRANTES,ADMITIDOS,CUPO,PUNTAJE_MINIMO,CALENDARIO
CUAAD,LICENCIATURA EN ARQUITECTURA,867,220,220,160.8633,1
CUAAD,LICENCIATURA EN DISEÑO ARTE Y TECNOLOGIAS INTERACTIVAS,364,20,20,181.1767,1
CUAAD,LICENCIATURA EN DISEÑO DE INTERIORES  Y AMBIENTACION ,217,60,60,149.5833,1
CUAAD,LICENCIATURA EN DISEÑO DE MODAS,131,40,40,157.7967,1
CUAAD,LICENCIATURA EN DISEÑO INDUSTRIAL,254,80,80,151.2933,1
CUAAD,LICENCIATURA EN DISEÑO PARA LA COMUNICACION GRAFICA,463,160,160,145.7467,1
CUAAD,LICENCIATURA EN URBANISTICA Y MEDIO AMBIENTE,41,41,50,72.0000,1
CUAAD,LICENCIATURA EN ARTES AUDIOVISUALES  ,17,17,17,72.0000,1
CUAAD,LICENCIATURA EN ARTES ESCENICAS PARA LA EXPRESION DANCISTICA,35,35,35,67.0000,1
CUAAD,LICENCIATURA EN ARTES ESCENICAS PARA LA EXPRESION TEATRAL,24,24,25,70.1800,1
CUAAD,LICENCIATURA EN ARTES VISUALES PARA LA EXPRESION FOTOGRAFICA,56,56,60,68.0000,1
CUAAD,LICENCIATURA EN ARTES VISUALES PARA LA EXPRESION PLASTICA,60,60,60,73.0000,1
CUCBA,INGENIERO AGRONOMO,270,260,260,71.0000,1
CUCBA,LICENCIATURA EN AGRONEGOCIOS,39,39,40,67.4400,1
CUCBA,LICENCIATURA EN BIOLOGIA,205,205,260,64.9500,1
CUCBA,LICENCIATURA EN CIENCIA DE LOS ALIMENTOS,20,20,40,74.5600,1
CUCBA,LICENCIATURA EN MEDICINA VETERINARIA Y ZOOTECNIA,842,270,270,140.4400,1
CUCEA,INGENIERIA EN NEGOCIOS,163,95,95,137.7133,1
CUCEA,LICENCIATURA EN ADMINISTRACION,696,392,392,129.9067,1
CUCEA,LICENCIATURA EN ADMINISTRACION FINANCIERA Y SISTEMAS,582,248,248,147.3333,1
CUCEA,LICENCIATURA EN ADMINISTRACION GUBERNAMENTAL Y POLITICAS PUBLICAS ,69,69,69,96.8300,1
CUCEA,LICENCIATURA EN CONTADURIA PUBLICA,806,471,471,132.6467,1
CUCEA,LICENCIATURA EN ECONOMIA,123,123,123,99.8267,1
CUCEA,LICENCIATURA EN GESTION DE NEGOCIOS GASTRONOMICOS,308,133,133,137.2467,1
CUCEA,LICENCIATURA EN GESTION Y ECONOMIA AMBIENTAL,46,46,46,101.7500,1
CUCEA,LICENCIATURA EN MERCADOTECNIA,663,303,303,137.7033,1
CUCEA,LICENCIATURA EN NEGOCIOS INTERNACIONALES,934,464,464,137.8567,1
CUCEA,LICENCIATURA EN RECURSOS HUMANOS,238,167,167,117.5433,1
CUCEA,LICENCIATURA EN RELACIONES PUBLICAS Y COMUNICACION,138,98,98,125.0133,1
CUCEA,LICENCIATURA EN TECNOLOGIAS DE LA INFORMACION,112,106,106,106.9167,1
CUCEA,LICENCIATURA EN TURISMO,190,174,174,109.0100,1
CUCEI,INGENIERIA BIOMEDICA,221,110,110,160.2500,1
CUCEI,INGENIERIA CIVIL,431,140,140,152.6433,1
CUCEI,INGENIERIA EN COMPUTACION,658,300,300,142.1800,1
CUCEI,INGENIERIA EN COMUNICACIONES Y ELECTRONICA,200,130,130,128.1667,1
CUCEI,INGENIERIA EN LOGISTICA Y TRANSPORTE,87,50,50,128.6767,1
CUCEI,INGENIERIA EN TOPOGRAFIA GEOMATICA,43,28,50,120.1133,1
CUCEI,INGENIERIA FOTONICA,26,25,25,113.6367,1
CUCEI,INGENIERIA INDUSTRIAL,571,215,215,146.7667,1
CUCEI,INGENIERIA INFORMATICA,517,275,275,139.7500,1
CUCEI,INGENIERIA MECANICA ELECTRICA,402,210,210,139.9167,1
CUCEI,INGENIERIA QUIMICA,325,170,170,146.9833,1
CUCEI,INGENIERIA ROBOTICA,137,70,70,147.8333,1
CUCEI,LICENCIATURA EN CIENCIA DE MATERIALES,18,18,35,111.3333,1
CUCEI,LICENCIATURA EN FISICA,154,90,90,160.5733,1
CUCEI,LICENCIATURA EN INGENIERIA EN ALIMENTOS Y BIOTECNOLOGIA,166,70,70,146.8133,1
CUCEI,LICENCIATURA EN MATEMATICAS,77,60,60,132.9167,1
CUCEI,LICENCIATURA EN QUIMICA,123,92,92,129.7700,1
CUCEI,LICENCIATURA EN QUIMICO FARMACEUTICO BIOLOGO,739,180,180,164.3700,1
CUCS,LICENCIATURA EN CIENCIAS FORENSES,142,33,33,93.1800,1
CUCS,LICENCIATURA EN CIRUJANO DENTISTA,"1,050",157,157,166.0100,1
CUCS,LICENCIATURA EN CULTURA FISICA Y DEPORTES,487,186,186,133.8367,1
CUCS,LICENCIATURA EN ENFERMERIA,"1,239",360,360,142.6067,1
CUCS,LICENCIATURA EN ENFERMERIA (NIVELACION),58,58,58,69.0000,1
CUCS,LICENCIATURA EN NUTRICION,531,124,124,149.4967,1
CUCS,LICENCIATURA EN PODOLOGIA,127,30,30,90.5700,1
CUCS,LICENCIATURA EN PSICOLOGIA ,"1,412",218,218,161.1900,1
CUCS,LICENCIATURA EN TERAPIA FISICA,129,62,62,89.0500,1
CUCS,MEDICO CIRUJANO Y PARTERO,"2,080",367,367,177.0000,1
CUCS,TECNICO SUPERIOR UNIVERSITARIO EN EMERGENCIASSEGURIDAD LABORAL Y RESCATES,142,62,62,87.0300,1
CUCS,TECNICO SUPERIOR UNIVERSITARIO EN PROTESIS DENTAL,72,63,63,78.1300,1
CUCS,TECNICO SUPERIOR UNIVERSITARIO EN RADIOLOGIA E IMAGEN,173,94,94,84.0200,1
CUCS,TECNICO SUPERIOR UNIVERSITARIO EN TERAPIA RESPIRATORIA ,43,32,32,81.0000,1
CUCSH,ABOGADO,975,420,420,136.6233,1
CUCSH,ABOGADO (SEMIESCOLARIZADO),379,200,200,126.7667,1
CUCSH,LICENCIATURA EN ANTROPOLOGIA,47,40,40,119.0833,1
CUCSH,LICENCIATURA EN FILOSOFIA,67,60,60,75.6300,1
CUCSH,LICENCIATURA EN GEOGRAFIA,16,16,50,76.6700,1
CUCSH,LICENCIATURA EN HISTORIA,77,77,90,69.0000,1
CUCSH,LICENCIATURA EN LETRAS HISPANICAS,93,82,82,126.0167,1
CUCSH,LICENCIATURA EN COMUNICACION PUBLICA,88,35,35,138.3533,1
CUCSH,LICENCIATURA EN CRIMINOLOGIA,231,90,90,131.3367,1
CUCSH,LICENCIATURA EN ESTUDIOS POLITICOS Y GOBIERNO,65,65,80,61.6900,1
CUCSH,LICENCIATURA EN RELACIONES INTERNACIONALES,173,80,80,144.6467,1
CUCSH,LICENCIATURA EN SOCIOLOGIA,60,60,80,68.3300,1
CUCSH,LICENCIATURA EN TRABAJO SOCIAL (ESCOLARIZADA),187,153,153,111.5467,1
CUCSH,LICENCIATURA EN TRABAJO SOCIAL (NIVELACION),37,37,37,69.0000,1
CUALTOS,ABOGADO,56,44,44,120.9367,1
CUALTOS,LICENCIATURA EN ADMINISTRACION,37,37,44,113.0833,1
CUALTOS,LICENCIATURA EN CIRUJANO DENTISTA,189,44,44,158.6200,1
CUALTOS,LICENCIATURA EN CONTADURIA PUBLICA,57,44,44,130.5067,1
CUALTOS,LICENCIATURA EN ENFERMERIA,62,44,44,121.3867,1
CUALTOS,LICENCIATURA EN MEDICINA VETERINARIA Y ZOOTECNIA,146,44,44,146.2500,1
CUALTOS,LICENCIATURA EN NEGOCIOS INTERNACIONALES,47,47,47,103.0700,1
CUALTOS,LICENCIATURA EN NUTRICION,77,44,44,125.0167,1
CUALTOS,LICENCIATURA EN PSICOLOGIA ,66,44,44,127.5200,1
CUALTOS,MEDICO CIRUJANO Y PARTERO,276,44,44,176.8667,1
CUCI,ABOGADO,10,10,35,71.4300,1
CUCI,LICENCIATURA EN ADMINISTRACION,5,5,35,81.2300,1
CUCI,LICENCIATURA EN AGROBIOTECNOLOGIA,23,23,35,69.0000,1
CUCI,LICENCIATURA EN AGRONEGOCIOS,10,10,35,68.0000,1
CUCI,ABOGADO,37,37,40,96.4167,1
CUCI,INGENIERIA EN COMPUTACION,24,24,35,71.0000,1
CUCI,INGENIERIA INDUSTRIAL,50,40,40,114.6400,1
CUCI,INGENIERIA INFORMATICA,24,24,35,65.4900,1
CUCI,INGENIERIA QUIMICA,68,40,40,137.1267,1
CUCI,LICENCIATURA EN ADMINISTRACION,39,39,40,71.0000,1
CUCI,LICENCIATURA EN CONTADURIA PUBLICA,26,26,40,76.0000,1
CUCI,LICENCIATURA EN MERCADOTECNIA,20,20,40,70.0000,1
CUCI,LICENCIATURA EN NEGOCIOS INTERNACIONALES,41,40,40,106.2100,1
CUCI,LICENCIATURA EN PSICOLOGIA ,70,70,80,70.0000,1
CUCI,LICENCIATURA EN QUIMICO FARMACEUTICO BIOLOGO,139,60,60,144.7467,1
CUCI,LICENCIATURA EN RECURSOS HUMANOS,20,20,40,70.9400,1
CUCI,MEDICO CIRUJANO Y PARTERO,263,30,30,171.5600,1
CUCI,ABOGADO,4,4,35,76.0000,1
CUCI,LICENCIATURA EN ADMINISTRACION,17,17,35,69.0000,1
CUCI,LICENCIATURA EN CONTADURIA PUBLICA,14,14,35,71.5600,1
CUCI,LICENCIATURA EN PSICOLOGIA ,12,12,35,74.9500,1
CUCI,LICENCIATURA EN RECURSOS HUMANOS,5,5,35,83.3600,1
CUCOSTA,ABOGADO,44,44,52,70.9300,1
CUCOSTA,INGENIERIA CIVIL,33,33,36,71.0000,1
CUCOSTA,INGENIERIA EN COMPUTACION,31,31,33,70.0000,1
CUCOSTA,INGENIERIA EN TELEMATICA,9,9,11,73.0700,1
CUCOSTA,INGENIERIA EN VIDEOJUEGOS,36,30,30,76.0000,1
CUCOSTA,LICENCIATURA EN ADMINISTRACION,72,72,81,70.0000,1
CUCOSTA,LICENCIATURA EN ARQUITECTURA,69,69,80,66.4900,1
CUCOSTA,LICENCIATURA EN ARTES VISUALES PARA LA EXPRESION FOTOGRAFICA,10,10,10,71.0700,1
CUCOSTA,LICENCIATURA EN ARTES VISUALES PARA LA EXPRESION PLASTICA,21,21,26,73.0000,1
CUCOSTA,LICENCIATURA EN BIOLOGIA,29,29,31,65.0000,1
CUCOSTA,LICENCIATURA EN CIENCIAS Y ARTES CULINARIAS,40,30,30,82.5100,1
CUCOSTA,LICENCIATURA EN CONTADURIA PUBLICA,68,68,79,69.0000,1
CUCOSTA,LICENCIATURA EN CULTURA FISICA Y DEPORTES,34,34,39,68.0000,1
CUCOSTA,LICENCIATURA EN DISEÑO PARA LA COMUNICACION GRAFICA,34,34,35,68.8800,1
CUCOSTA,LICENCIATURA EN ENFERMERIA,79,41,41,128.9167,1
CUCOSTA,LICENCIATURA EN INGENIERIA EN COMUNICACION MULTIMEDIA,26,26,30,67.0000,1
CUCOSTA,LICENCIATURA EN NUTRICION,60,40,40,120.9200,1
CUCOSTA,LICENCIATURA EN PSICOLOGIA ,79,79,88,67.0000,1
CUCOSTA,LICENCIATURA EN TURISMO,29,29,32,68.0000,1
CUCOSTA,MEDICO CIRUJANO Y PARTERO,290,41,41,172.7567,1
CUCSUR,ABOGADO,30,30,70,71.0000,1
CUCSUR,INGENIERIA DE PROCESOS Y COMERCIO INTERNACIONAL,17,17,30,68.5100,1
CUCSUR,INGENIERIA MECATRONICA,18,18,40,72.0000,1
CUCSUR,INGENIERO AGRONOMO,68,50,50,105.2500,1
CUCSUR,LICENCIATURA EN ADMINISTRACION,28,28,40,71.6400,1
CUCSUR,LICENCIATURA EN ADMINISTRACION FINANCIERA Y SISTEMAS,18,18,30,72.0800,1
CUCSUR,LICENCIATURA EN ARTES (ESCOLARIZADA),32,32,38,69.7100,1
CUCSUR,LICENCIATURA EN BIOLOGIA MARINA,33,33,35,96.2500,1
CUCSUR,LICENCIATURA EN CONTADURIA PUBLICA,30,30,40,72.0000,1
CUCSUR,LICENCIATURA EN ENFERMERIA,80,40,40,123.7733,1
CUCSUR,LICENCIATURA EN INGENIERIA EN OBRAS Y SERVICIOS,20,20,50,75.0500,1
CUCSUR,LICENCIATURA EN INGENIERIA EN RECURSOS NATURALES Y AGROPECUARIOS,8,8,30,67.7200,1
CUCSUR,LICENCIATURA EN INGENIERIA EN TELEINFORMATICA,10,10,30,70.0000,1
CUCSUR,LICENCIATURA EN NUTRICION,21,21,40,73.9300,1
CUCSUR,LICENCIATURA EN TURISMO,11,11,30,73.9000,1
CUCSUR,TECNICO SUPERIOR UNIVERSITARIO EN ELECTRONICA Y MECANICA AUTOMOTRIZ,21,21,30,67.8400,1
CULAGOS,ABOGADO (SEMIESCOLARIZADO),46,46,46,70.0000,1
CULAGOS,INGENIERIA BIOQUIMICA,46,46,46,72.0000,1
CULAGOS,INGENIERIA INDUSTRIAL,17,17,45,68.6700,1
CULAGOS,INGENIERIA MECATRONICA,24,24,45,72.0000,1
CULAGOS,LICENCIATURA EN INGENIERIA EN ADMINISTRACION INDUSTRIAL,22,22,45,71.5100,1
CULAGOS,LICENCIATURA EN PSICOLOGIA ,38,38,45,68.9500,1
CULAGOS,ABOGADO,15,15,45,72.4100,1
CULAGOS,LICENCIATURA EN ADMINISTRACION,23,23,45,67.1600,1
CULAGOS,LICENCIATURA EN LENGUAS Y CULTURAS EXTRANJERAS,90,50,50,87.0800,1
CULAGOS,LICENCIATURA EN PSICOLOGIA ,11,11,45,69.9000,1
CUNORTE,ABOGADO,20,20,35,67.3600,1
CUNORTE,INGENIERIA EN ELECTRONICA Y COMPUTACION,8,8,20,71.0000,1
CUNORTE,INGENIERIA MECANICA ELECTRICA,3,3,15,71.0000,1
CUNORTE,LICENCIATURA EN ADMINISTRACION,13,13,30,71.4400,1
CUNORTE,LICENCIATURA EN AGRONEGOCIOS,5,5,20,71.7000,1
CUNORTE,LICENCIATURA EN ANTROPOLOGIA,2,2,15,77.0000,1
CUNORTE,LICENCIATURA EN CONTADURIA PUBLICA,13,13,30,66.0000,1
CUNORTE,LICENCIATURA EN EDUCACION,46,46,60,68.0000,1
CUNORTE,LICENCIATURA EN ENFERMERIA,31,31,50,67.0000,1
CUNORTE,LICENCIATURA EN ENFERMERIA (NIVELACION),20,20,40,71.0000,1
CUNORTE,LICENCIATURA EN NUTRICION,11,11,30,75.0000,1
CUNORTE,LICENCIATURA EN PSICOLOGIA ,11,11,30,67.9000,1
CUSUR,ABOGADO,84,84,84,67.0000,1
CUSUR,CARRERA EN ENFERMERIA,17,17,40,71.0000,1
CUSUR,INGENIERIA EN TELEMATICA,19,19,50,77.0000,1
CUSUR,LICENCIATURA EN AGROBIOTECNOLOGIA,39,39,40,68.4700,1
CUSUR,LICENCIATURA EN AGRONEGOCIOS,54,54,70,68.7400,1
CUSUR,LICENCIATURA EN CIRUJANO DENTISTA,227,36,36,159.9300,1
CUSUR,LICENCIATURA EN CULTURA FISICA Y DEPORTES,92,42,42,83.0000,1
CUSUR,LICENCIATURA EN DESARROLLO TURISTICO SUSTENTABLE,16,16,40,75.9500,1
CUSUR,LICENCIATURA EN ENFERMERIA,118,90,90,83.8500,1
CUSUR,LICENCIATURA EN MEDICINA VETERINARIA Y ZOOTECNIA,173,79,79,86.0000,1
CUSUR,LICENCIATURA EN NEGOCIOS INTERNACIONALES,112,82,82,81.0000,1
CUSUR,LICENCIATURA EN NUTRICION,68,60,60,76.8700,1
CUSUR,LICENCIATURA EN PSICOLOGIA ,109,80,80,81.0000,1
CUSUR,LICENCIATURA EN SEGURIDAD LABORAL PROTECCION CIVIL Y EMERGENCIAS,21,21,40,69.0000,1
CUSUR,LICENCIATURA EN TRABAJO SOCIAL (MIXTA),39,39,40,70.4400,1
CUSUR,MEDICO CIRUJANO Y PARTERO,383,60,60,172.1667,1
CUTLAJO,INGENIERIA CIVIL,99,35,35,140.9300,1
CUTLAJO,INGENIERIA MECATRONICA,107,35,35,139.9533,1
CUTLAJO,LICENCIATURA EN ADMINISTRACION,146,70,70,129.1967,1
CUTLAJO,LICENCIATURA EN ENFERMERIA,228,70,70,134.7467,1
CUTLAJO,LICENCIATURA EN NEGOCIOS INTERNACIONALES,124,70,70,125.4033,1
CUTLAJO,LICENCIATURA EN NUTRICION,149,70,70,127.3333,1
CUTLAJO,LICENCIATURA EN TERAPIA FISICA,83,30,30,89.1000,1
CUTLAJO,MEDICO CIRUJANO Y PARTERO,554,70,70,173.7233,1
CUTONALA,ABOGADO,311,180,180,121.3433,1
CUTONALA,INGENIERIA EN CIENCIAS COMPUTACIONALES,110,90,90,113.7867,1
CUTONALA,INGENIERIA EN ENERGIA,52,52,60,67.0000,1
CUTONALA,INGENIERIA EN NANOTECNOLOGIA,76,76,90,101.6667,1
CUTONALA,LICENCIATURA EN ADMINISTRACION DE NEGOCIOS,213,120,120,125.8100,1
CUTONALA,LICENCIATURA EN ARQUITECTURA,90,80,80,126.2567,1
CUTONALA,LICENCIATURA EN CIENCIAS FORENSES,118,35,35,141.4767,1
CUTONALA,LICENCIATURA EN CONTADURIA PUBLICA,164,120,120,119.7200,1
CUTONALA,LICENCIATURA EN DISEÑO DE ARTESANIA,20,20,30,70.0000,1
CUTONALA,LICENCIATURA EN ESTUDIOS LIBERALES,18,18,30,71.0000,1
CUTONALA,LICENCIATURA EN GERONTOLOGIA,50,35,35,117.5233,1
CUTONALA,LICENCIATURA EN HISTORIA DEL ARTE,20,20,30,67.0000,1
CUTONALA,LICENCIATURA EN NUTRICION,204,70,70,133.3400,1
CUTONALA,LICENCIATURA EN SALUD PUBLICA,30,30,35,103.0833,1
CUTONALA,MEDICO CIRUJANO Y PARTERO,"1,031",120,120,176.7267,1
CUVALLES,ABOGADO,57,40,40,113.0167,1
CUVALLES,INGENIERIA EN DISEÑO MOLECULAR DE MATERIALES,5,5,15,74.3100,1
CUVALLES,INGENIERIA EN ELECTRONICA Y COMPUTACION,29,29,36,66.2600,1
CUVALLES,INGENIERIA EN GEOFISICA,3,3,15,82.0000,1
CUVALLES,INGENIERIA EN INSTRUMENTACION ELECTRONICA Y NANOSENSORES,3,3,15,77.0000,1
CUVALLES,INGENIERIA EN SISTEMAS BIOLOGICOS,14,14,25,71.6900,1
CUVALLES,INGENIERIA MECATRONICA,36,36,40,73.4900,1
CUVALLES,LICENCIATURA EN ADMINISTRACION,57,40,40,115.2333,1
CUVALLES,LICENCIATURA EN AGRONEGOCIOS,18,18,30,67.0000,1
CUVALLES,LICENCIATURA EN CONTADURIA PUBLICA,63,40,40,123.4167,1
CUVALLES,LICENCIATURA EN EDUCACION,77,72,72,102.2400,1
CUVALLES,LICENCIATURA EN ENFERMERIA,169,72,72,123.7267,1
CUVALLES,LICENCIATURA EN NUTRICION,68,40,40,117.3700,1
CUVALLES,LICENCIATURA EN PSICOLOGIA ,85,72,72,112.9167,1
CUVALLES,LICENCIATURA EN TECNOLOGIAS DE LA INFORMACION,15,15,25,73.8700,1
CUVALLES,LICENCIATURA EN TRABAJO SOCIAL (ESCOLARIZADA),42,40,40,102.8367,1
CUVALLES,LICENCIATURA EN TURISMO,20,20,30,71.6900,1
SUV,BACHILLERATO GENERAL POR AREAS INTERDISCIPLINARIAS,96,85,99,68.0000,1
SUV,LICENCIATURA EN ADMINISTRACION DE LAS ORGANIZACIONES,296,258,269,60.0000,1
SUV,LICENCIATURA EN BIBLIOTECOLOGIA Y GESTION DEL CONOCIMIENTO,16,16,17,76.0000,1
SUV,LICENCIATURA EN DESARROLLO DE SISTEMAS WEB,147,134,142,65.0000,1
SUV,LICENCIATURA EN DESARROLLO EDUCATIVO,134,116,122,67.0000,1
SUV,LICENCIATURA EN GESTION CULTURAL,65,61,67,60.0000,1
SUV,LICENCIATURA EN MERCADOTECNIA DIGITAL,238,217,229,60.0000,1
SUV,LICENCIATURA EN PERIODISMO DIGITAL,18,17,19,60.0000,1
SUV,LICENCIATURA EN SEGURIDAD CIUDADANA,38,33,35,66.8400,1
SUV,LICENCIATURA EN TECNOLOGIAS E INFORMACION,116,105,113,65.0000,1
CUAAD,LICENCIATURA EN ARQUITECTURA,1194,220,220,165.9967,2
CUAAD,LICENCIATURA EN DISEÑO ARTE Y TECNOLOGIAS INTERACTIVAS,571,21,21,178.6667,2
CUAAD,LICENCIATURA EN DISEÑO DE INTERIORES Y AMBIENTACION ,329,60,60,155.9400,2
CUAAD,LICENCIATURA EN DISEÑO DE MODAS,231,40,40,162.5000,2
CUAAD,LICENCIATURA EN DISEÑO INDUSTRIAL,393,80,80,161.0867,2
CUAAD,LICENCIATURA EN DISEÑO PARA LA COMUNICACION GRAFICA,651,170,170,151.4333,2
CUAAD,LICENCIATURA EN URBANISTICA Y MEDIO AMBIENTE,45,45,50,73.1400,2
CUAAD,LICENCIATURA EN MUSICA CON ORIENTACION EN CANTO,1,1,5,88.0000,2
CUAAD,LICENCIATURA EN MUSICA CON ORIENTACION EN COMPOSICION,5,5,10,75.4600,2
CUAAD,LICENCIATURA EN MUSICA CON ORIENTACION EN DIRECCION CORAL,4,4,10,76.3300,2
CUAAD,LICENCIATURA EN MUSICA CON ORIENTACION EN EJECUTANTE,15,15,25,73.0000,2
