CENTRO,CARRERA,ASPIRANTES,ADMITIDOS,CUPO,PUNTAJE_MINIMO,CALENDARIO
CUAAD,LICENCIATURA EN MUSICA CON ORIENTACION EN PEDAGOGIA MUSICAL,5,5,10,89.3500,2
CUAAD,TECNICO EN MUSICA,109,109,150,68.0000,2
CUAAD,LICENCIATURA EN ARTES ESCENICAS PARA LA EXPRESION DANCISTICA,37,37,37,68.0000,2
CUAAD,LICENCIATURA EN ARTES ESCENICAS PARA LA EXPRESION TEATRAL,23,23,25,73.5900,2
CUAAD,LICENCIATURA EN ARTES VISUALES PARA LA EXPRESION FOTOGRAFICA,57,57,60,71.0000,2
CUAAD,LICENCIATURA EN ARTES VISUALES PARA LA EXPRESION PLASTICA,61,61,61,77.8800,2
CUCBA,INGENIERO AGRONOMO,411,260,260,82.5000,2
CUCBA,LICENCIATURA EN AGRONEGOCIOS,45,45,50,67.8100,2
CUCBA,LICENCIATURA EN BIOLOGIA,279,260,260,76.6200,2
CUCBA,LICENCIATURA EN CIENCIA DE LOS ALIMENTOS,38,38,40,69.0000,2
CUCBA,LICENCIATURA EN MEDICINA VETERINARIA Y ZOOTECNIA,1404,270,270,92.3800,2
CUCEA,INGENIERIA EN NEGOCIOS,241,91,91,92.0000,2
CUCEA,LICENCIATURA EN ADMINISTRACION,933,385,385,139.0367,2
CUCEA,LICENCIATURA EN ADMINISTRACION FINANCIERA Y SISTEMAS,834,245,245,157.3333,2
CUCEA,LICENCIATURA EN ADMINISTRACION GUBERNAMENTAL Y POLITICAS PUBLICAS ,102,90,90,75.8600,2
CUCEA,LICENCIATURA EN CONTADURIA PUBLICA,1190,465,465,144.9033,2
CUCEA,LICENCIATURA EN ECONOMIA,211,111,111,87.0000,2
CUCEA,LICENCIATURA EN GESTION DE NEGOCIOS GASTRONOMICOS,498,128,128,91.8800,2
CUCEA,LICENCIATURA EN GESTION Y ECONOMIA AMBIENTAL,52,46,46,80.0500,2
CUCEA,LICENCIATURA EN MERCADOTECNIA,994,299,299,149.1000,2
CUCEA,LICENCIATURA EN NEGOCIOS INTERNACIONALES,1521,456,456,151.4267,2
CUCEA,LICENCIATURA EN RECURSOS HUMANOS,421,165,165,86.4000,2
CUCEA,LICENCIATURA EN RELACIONES PUBLICAS Y COMUNICACION ,282,94,94,89.0000,2
CUCEA,LICENCIATURA EN TECNOLOGIAS DE LA INFORMACION,115,104,104,74.8700,2
CUCEA,LICENCIATURA EN TURISMO,319,172,172,87.0000,2
CUCEI,INGENIERIA BIOMEDICA,384,110,110,170.7500,2
CUCEI,INGENIERIA CIVIL,740,140,140,163.7800,2
CUCEI,INGENIERIA EN COMPUTACION,864,300,300,153.7000,2
CUCEI,INGENIERIA EN COMUNICACIONES Y ELECTRONICA,211,109,130,140.3333,2
CUCEI,INGENIERIA EN LOGISTICA Y TRANSPORTE,60,39,50,127.9000,2
CUCEI,INGENIERIA EN TOPOGRAFIA GEOMATICA,33,21,50,125.4033,2
CUCEI,INGENIERIA FOTONICA,29,13,25,140.4533,2
CUCEI,INGENIERIA INDUSTRIAL,993,215,215,158.6667,2
CUCEI,INGENIERIA INFORMATICA,703,275,275,150.3700,2
CUCEI,INGENIERIA MECANICA ELECTRICA,631,210,210,152.1067,2
CUCEI,INGENIERIA QUIMICA,593,170,170,163.3667,2
CUCEI,INGENIERIA ROBOTICA,254,70,70,163.9167,2
CUCEI,LICENCIATURA EN CIENCIA DE MATERIALES,19,9,35,141.8800,2
CUCEI,LICENCIATURA EN FISICA,263,65,65,173.1667,2
CUCEI,LICENCIATURA EN INGENIERIA EN ALIMENTOS Y BIOTECNOLOGIA,246,70,70,154.3100,2
CUCEI,LICENCIATURA EN MATEMATICAS,92,60,60,145.8333,2
CUCEI,LICENCIATURA EN QUIMICA,140,92,92,140.1133,2
CUCEI,LICENCIATURA EN QUIMICO FARMACEUTICO BIOLOGO,1251,180,180,169.2167,2
CUCS,CARRERA DE ENFERMERIA (SEMIESCOLARIZADA),10,10,10,67.0000,2
CUCS,CARRERA EN ENFERMERIA,123,123,186,63.0000,2
CUCS,LICENCIATURA EN CIENCIAS FORENSES,255,33,33,95.4400,2
CUCS,LICENCIATURA EN CIRUJANO DENTISTA,1514,157,157,168.0800,2
CUCS,LICENCIATURA EN CULTURA FISICA Y DEPORTES,721,186,186,142.2500,2
CUCS,LICENCIATURA EN ENFERMERIA,1508,244,244,151.1567,2
CUCS,LICENCIATURA EN ENFERMERIA (MODALIDAD A DISTANCIA),12,12,12,68.6100,2
CUCS,LICENCIATURA EN ENFERMERIA (NIVELACION),47,47,53,67.4000,2
CUCS,LICENCIATURA EN NUTRICION,797,124,124,158.3767,2
CUCS,LICENCIATURA EN PODOLOGIA,133,30,30,90.1500,2
CUCS,LICENCIATURA EN PSICOLOGIA ,1824,218,218,164.2700,2
CUCS,MEDICO CIRUJANO Y PARTERO,4403,367,367,180.4167,2
CUCS,TECNICO SUPERIOR UNIVERSITARIO EN EMERGENCIASSEGURIDAD LABORAL Y RESCATES,181,62,62,86.2600,2
CUCS,TECNICO SUPERIOR UNIVERSITARIO EN PROTESIS DENTAL,71,63,63,76.0000,2
CUCS,TECNICO SUPERIOR UNIVERSITARIO EN RADIOLOGIA E IMAGEN,189,94,94,83.2800,2
CUCS,TECNICO SUPERIOR UNIVERSITARIO EN TERAPIA FISICA,436,62,62,93.5500,2
CUCS,TECNICO SUPERIOR UNIVERSITARIO EN TERAPIA RESPIRATORIA ,51,32,32,78.6100,2
CUCSH,ABOGADO,1404,420,420,148.0000,2
CUCSH,ABOGADO (SEMIESCOLARIZADO),493,200,200,84.0300,2
CUCSH,LICENCIATURA EN ANTROPOLOGIA,65,40,40,86.1700,2
CUCSH,LICENCIATURA EN DIDACTICA DEL FRANCES COMO LENGUA EXTRANJERA,33,33,34,73.0800,2
CUCSH,LICENCIATURA EN DOCENCIA DEL INGLES COMO LENGUA EXTRANJERA,45,45,45,78.8500,2
CUCSH,LICENCIATURA EN FILOSOFIA,59,59,61,69.0000,2
CUCSH,LICENCIATURA EN GEOGRAFIA,21,21,50,65.0000,2
CUCSH,LICENCIATURA EN HISTORIA,85,85,90,70.8700,2
CUCSH,LICENCIATURA EN LETRAS HISPANICAS,134,82,82,86.0300,2
CUCSH,LICENCIATURA EN CRIMINOLOGIA,335,90,90,143.1067,2
CUCSH,LICENCIATURA EN ESCRITURA CREATIVA,75,40,40,87.9200,2
CUCSH,LICENCIATURA EN ESTUDIOS POLITICOS Y GOBIERNO,78,78,80,67.0000,2
CUCSH,LICENCIATURA EN RELACIONES INTERNACIONALES,267,80,80,152.1667,2
CUCSH,LICENCIATURA EN SOCIOLOGIA,41,41,100,69.3000,2
CUCSH,LICENCIATURA EN TRABAJO SOCIAL (ESCOLARIZADA),356,156,156,86.0000,2
CUCSH,LICENCIATURA EN TRABAJO SOCIAL (NIVELACION),35,35,35,72.0000,2
CUALTOS,ABOGADO,107,44,44,137.3267,2
CUALTOS,INGENIERIA AGROINDUSTRIAL,63,44,44,128.5467,2
CUALTOS,INGENIERIA EN COMPUTACION,91,44,44,147.7800,2
CUALTOS,INGENIERIA EN SISTEMAS PECUARIOS,36,36,44,100.4600,2
CUALTOS,LICENCIATURA EN ADMINISTRACION,88,44,44,141.8667,2
CUALTOS,LICENCIATURA EN CIRUJANO DENTISTA,291,44,44,164.4833,2
CUALTOS,LICENCIATURA EN CONTADURIA PUBLICA,131,44,44,150.2633,2
CUALTOS,LICENCIATURA EN ENFERMERIA,118,44,44,141.6967,2
CUALTOS,LICENCIATURA EN MEDICINA VETERINARIA Y ZOOTECNIA,242,44,44,156.2500,2
CUALTOS,LICENCIATURA EN NEGOCIOS INTERNACIONALES,128,44,44,153.1033,2
CUALTOS,LICENCIATURA EN NUTRICION,117,44,44,140.6867,2
CUALTOS,LICENCIATURA EN PSICOLOGIA ,116,44,44,144.2467,2
CUALTOS,MEDICO CIRUJANO Y PARTERO,547,44,44,178.0667,2
CUCI,ABOGADO,24,24,35,72.0000,2
CUCI,LICENCIATURA EN ADMINISTRACION,17,17,35,82.0000,2
CUCI,LICENCIATURA EN CONTADURIA PUBLICA,26,26,35,81.0000,2
CUCI,LICENCIATURA EN PSICOLOGIA ,21,21,35,68.0000,2
CUCI,LICENCIATURA EN RECURSOS HUMANOS,11,11,35,79.0000,2
CUCI,ABOGADO,13,13,35,79.0000,2
CUCI,LICENCIATURA EN ADMINISTRACION,16,16,35,74.0000,2
CUCI,LICENCIATURA EN AGROBIOTECNOLOGIA,30,30,35,62.0000,2
CUCI,LICENCIATURA EN AGRONEGOCIOS,24,24,35,70.0000,2
CUCI,LICENCIATURA EN ENFERMERIA (NIVELACION),12,12,20,83.2000,2
CUCI,ABOGADO,64,64,80,68.0000,2
CUCI,INGENIERIA EN COMPUTACION,59,43,43,84.0000,2
CUCI,INGENIERIA INDUSTRIAL,72,40,40,132.2000,2
CUCI,INGENIERIA INFORMATICA,48,40,40,79.0000,2
CUCI,INGENIERIA QUIMICA,116,40,40,151.5000,2
CUCI,LICENCIATURA EN ADMINISTRACION,82,40,40,86.0000,2
CUCI,LICENCIATURA EN CONTADURIA PUBLICA,61,41,41,88.0000,2
CUCI,LICENCIATURA EN MERCADOTECNIA,49,40,40,80.3500,2
CUCI,LICENCIATURA EN NEGOCIOS INTERNACIONALES,104,81,81,80.0000,2
CUCI,LICENCIATURA EN PERIODISMO,21,21,40,76.3000,2
CUCI,LICENCIATURA EN PSICOLOGIA ,93,81,81,77.0000,2
CUCI,LICENCIATURA EN QUIMICO FARMACEUTICO BIOLOGO,204,60,60,152.7500,2
CUCI,LICENCIATURA EN RECURSOS HUMANOS,48,40,40,79.0000,2
CUCOSTA,ABOGADO,125,90,90,82.0000,2
CUCOSTA,INGENIERIA CIVIL,91,81,81,79.0000,2
CUCOSTA,INGENIERIA EN COMPUTACION,69,40,40,85.0000,2
CUCOSTA,INGENIERIA EN TELEMATICA,27,27,27,70.0000,2
CUCOSTA,INGENIERIA EN VIDEOJUEGOS,70,30,30,88.0000,2
CUCOSTA,LICENCIATURA EN ADMINISTRACION,176,90,90,130.1667,2
CUCOSTA,LICENCIATURA EN ARQUITECTURA,160,80,80,137.9167,2
CUCOSTA,LICENCIATURA EN ARTES VISUALES PARA LA EXPRESION FOTOGRAFICA,14,14,20,70.6500,2
CUCOSTA,LICENCIATURA EN ARTES VISUALES PARA LA EXPRESION PLASTICA,27,22,22,81.0000,2
CUCOSTA,LICENCIATURA EN BIOLOGIA,61,41,41,83.0000,2
CUCOSTA,LICENCIATURA EN CIENCIAS Y ARTES CULINARIAS,93,30,30,90.8200,2
CUCOSTA,LICENCIATURA EN CONTADURIA PUBLICA,156,90,90,134.7500,2
CUCOSTA,LICENCIATURA EN CULTURA FISICA Y DEPORTES,55,43,43,78.0000,2
CUCOSTA,LICENCIATURA EN DISEÑO PARA LA COMUNICACION GRAFICA,45,41,41,78.0000,2
CUCOSTA,LICENCIATURA EN ENFERMERIA,146,41,41,136.8233,2
CUCOSTA,LICENCIATURA EN INGENIERIA EN COMUNICACION MULTIMEDIA,58,58,69,61.0000,2
CUCOSTA,LICENCIATURA EN NUTRICION,107,40,40,137.6433,2
CUCOSTA,LICENCIATURA EN PSICOLOGIA ,158,90,90,126.6600,2
CUCOSTA,LICENCIATURA EN TURISMO,64,64,76,64.9200,2
CUCOSTA,MEDICO CIRUJANO Y PARTERO,524,41,41,175.5833,2
CUCOSTA,ABOGADO,8,8,10,69.0000,2
CUCOSTA,LICENCIATURA EN ADMINISTRACION,14,14,17,73.0000,2
CUCOSTA,LICENCIATURA EN TURISMO,9,9,11,73.5600,2
CUCSUR,ABOGADO,67,67,80,69.0000,2
CUCSUR,INGENIERIA DE PROCESOS Y COMERCIO INTERNACIONAL,29,29,40,76.1700,2
CUCSUR,INGENIERIA MECATRONICA,36,36,40,70.0000,2
CUCSUR,INGENIERO AGRONOMO,111,51,51,86.1500,2
CUCSUR,LICENCIATURA EN ADMINISTRACION,62,51,51,83.5800,2
CUCSUR,LICENCIATURA EN ADMINISTRACION FINANCIERA Y SISTEMAS,23,23,40,75.0000,2
CUCSUR,LICENCIATURA EN ARTES (ESCOLARIZADA),40,40,40,72.0000,2
CUCSUR,LICENCIATURA EN BIOLOGIA MARINA,59,59,70,70.0000,2
CUCSUR,LICENCIATURA EN CONTADURIA PUBLICA,83,71,71,81.1900,2
CUCSUR,LICENCIATURA EN ENFERMERIA,108,41,41,92.7200,2
CUCSUR,LICENCIATURA EN INGENIERIA EN OBRAS Y SERVICIOS,37,37,42,76.1400,2
CUCSUR,LICENCIATURA EN INGENIERIA EN RECURSOS NATURALES Y AGROPECUARIOS,13,13,30,70.0000,2
CUCSUR,LICENCIATURA EN INGENIERIA EN TELEINFORMATICA,29,29,33,73.0000,2
CUCSUR,LICENCIATURA EN NUTRICION,38,38,40,71.3300,2
CUCSUR,LICENCIATURA EN TURISMO,18,18,30,75.1400,2
CUCSUR,TECNICO SUPERIOR UNIVERSITARIO EN ELECTRONICA Y MECANICA AUTOMOTRIZ,37,37,50,71.0000,2
CULAGOS,ABOGADO,53,45,45,112.2867,2
CULAGOS,INGENIERIA BIOQUIMICA,87,45,45,142.1667,2
CULAGOS,INGENIERIA EN ELECTRONICA Y COMPUTACION,33,33,45,69.0000,2
CULAGOS,INGENIERIA INDUSTRIAL,46,45,45,103.9800,2
CULAGOS,INGENIERIA MECANICA ELECTRICA,16,16,45,71.8200,2
CULAGOS,INGENIERIA MECATRONICA,70,45,45,138.5733,2
CULAGOS,LICENCIATURA EN ADMINISTRACION,70,45,45,125.7600,2
CULAGOS,LICENCIATURA EN HUMANIDADES,18,18,45,70.0000,2
CULAGOS,LICENCIATURA EN INGENIERIA EN ADMINISTRACION INDUSTRIAL,45,45,45,69.0000,2
CULAGOS,LICENCIATURA EN PSICOLOGIA ,59,45,45,115.4167,2
CULAGOS,ABOGADO (SEMIESCOLARIZADO),33,33,45,68.0000,2
CULAGOS,INGENIERIA EN VIDEOJUEGOS,43,43,45,62.0000,2
CULAGOS,LICENCIATURA EN PERIODISMO,6,6,45,79.0000,2
CULAGOS,LICENCIATURA EN PSICOLOGIA ,42,42,45,70.0000,2
CULAGOS,LICENCIATURA EN TECNOLOGIAS DE LA INFORMACION,14,14,45,77.0000,2
CUNORTE,ABOGADO,45,45,60,69.0000,2
CUNORTE,INGENIERIA EN ELECTRONICA Y COMPUTACION,19,19,30,67.9700,2
CUNORTE,INGENIERIA MECANICA ELECTRICA,15,15,30,70.0000,2
CUNORTE,LICENCIATURA EN ADMINISTRACION,33,33,40,64.0000,2
CUNORTE,LICENCIATURA EN AGRONEGOCIOS,18,18,30,70.0000,2
CUNORTE,LICENCIATURA EN ANTROPOLOGIA,2,2,10,78.0000,2
CUNORTE,LICENCIATURA EN CONTADURIA PUBLICA,28,28,40,70.0000,2
CUNORTE,LICENCIATURA EN EDUCACION,85,85,100,70.6700,2
CUNORTE,LICENCIATURA EN ENFERMERIA,71,71,96,63.0000,2
CUNORTE,LICENCIATURA EN ENFERMERIA (NIVELACION),19,19,25,76.4900,2
CUNORTE,LICENCIATURA EN NUTRICION,21,21,35,70.3800,2
CUNORTE,LICENCIATURA EN PSICOLOGIA ,32,32,40,61.0000,2
CUNORTE,LICENCIATURA EN TURISMO,14,14,25,72.0000,2
CUSUR,ABOGADO,152,91,91,87.0000,2
CUSUR,CARRERA EN ENFERMERIA,22,22,40,71.0000,2
CUSUR,INGENIERIA EN GEOFISICA,13,13,40,75.0800,2
CUSUR,INGENIERIA EN SISTEMAS BIOLOGICOS,53,40,40,86.7000,2
CUSUR,INGENIERIA EN TELEMATICA,49,49,49,74.0000,2
CUSUR,LICENCIATURA EN AGROBIOTECNOLOGIA,73,40,40,83.7700,2
CUSUR,LICENCIATURA EN AGRONEGOCIOS,117,71,71,83.0000,2
CUSUR,LICENCIATURA EN DESARROLLO TURISTICO SUSTENTABLE,33,33,40,72.0000,2
CUSUR,LICENCIATURA EN ENFERMERIA,204,80,80,137.0000,2
CUSUR,LICENCIATURA EN LETRAS HISPANICAS,22,22,30,76.2600,2
CUSUR,LICENCIATURA EN MEDICINA VETERINARIA Y ZOOTECNIA,256,75,75,137.6667,2
CUSUR,LICENCIATURA EN NEGOCIOS INTERNACIONALES,211,80,80,144.6667,2
CUSUR,LICENCIATURA EN NUTRICION,122,60,60,88.0000,2
CUSUR,LICENCIATURA EN PERIODISMO,18,18,30,80.5600,2
CUSUR,LICENCIATURA EN PSICOLOGIA ,135,80,80,85.9700,2
CUSUR,LICENCIATURA EN SEGURIDAD LABORAL PROTECCION CIVIL Y EMERGENCIAS,70,40,40,81.9200,2
CUSUR,LICENCIATURA EN TRABAJO SOCIAL (MIXTA),55,40,40,78.0000,2
CUSUR,MEDICO CIRUJANO Y PARTERO,683,60,60,177.7500,2
CUTONALA,ABOGADO,496,180,180,87.4300,2
CUTONALA,INGENIERIA EN CIENCIAS COMPUTACIONALES,229,91,91,88.0000,2
CUTONALA,INGENIERIA EN ENERGIA,68,68,90,70.8500,2
CUTONALA,INGENIERIA EN NANOTECNOLOGIA,171,95,95,88.0000,2
CUTONALA,LICENCIATURA EN ADMINISTRACION DE NEGOCIOS,306,124,124,87.0000,2
CUTONALA,LICENCIATURA EN ARQUITECTURA,148,81,81,87.2100,2
CUTONALA,LICENCIATURA EN CIENCIAS FORENSES,201,35,35,92.6700,2
CUTONALA,LICENCIATURA EN CONTADURIA PUBLICA,289,125,125,87.0000,2
CUTONALA,LICENCIATURA EN DISEÑO DE ARTESANIA,29,29,30,73.2300,2
CUTONALA,LICENCIATURA EN ESTUDIOS LIBERALES,21,21,30,70.0000,2
CUTONALA,LICENCIATURA EN GERONTOLOGIA,70,35,35,89.0000,2
CUTONALA,LICENCIATURA EN HISTORIA DEL ARTE,31,31,31,66.6800,2
CUTONALA,LICENCIATURA EN NUTRICION,297,70,70,90.5100,2
CUTONALA,LICENCIATURA EN SALUD PUBLICA,66,35,35,85.0000,2
CUTONALA,MEDICO CIRUJANO Y PARTERO,1211,120,120,176.3367,2
CUVALLES,ABOGADO,128,80,80,120.8367,2
CUVALLES,INGENIERIA EN DISEÑO MOLECULAR DE MATERIALES,10,10,20,79.0000,2
CUVALLES,INGENIERIA EN ELECTRONICA Y COMPUTACION,66,40,40,86.0000,2
CUVALLES,INGENIERIA EN GEOFISICA,11,11,20,74.0000,2
CUVALLES,INGENIERIA EN INSTRUMENTACION ELECTRONICA Y NANOSENSORES,11,11,20,69.9500,2
CUVALLES,INGENIERIA EN SISTEMAS BIOLOGICOS,22,22,30,75.0000,2
CUVALLES,INGENIERIA MECATRONICA,63,41,41,86.0000,2
CUVALLES,LICENCIATURA EN ADMINISTRACION,131,80,80,126.4000,2
CUVALLES,LICENCIATURA EN AGRONEGOCIOS,42,40,40,73.0300,2
CUVALLES,LICENCIATURA EN CONTADURIA PUBLICA,118,80,80,132.5800,2
CUVALLES,LICENCIATURA EN EDUCACION,138,80,80,124.6367,2
CUVALLES,LICENCIATURA EN ENFERMERIA,246,70,70,134.9167,2
CUVALLES,LICENCIATURA EN NUTRICION,99,40,40,133.5000,2
CUVALLES,LICENCIATURA EN PSICOLOGIA ,126,80,80,125.1667,2
CUVALLES,LICENCIATURA EN TECNOLOGIAS DE LA INFORMACION,24,24,30,68.1500,2
CUVALLES,LICENCIATURA EN TRABAJO SOCIAL (ESCOLARIZADA),84,40,40,88.0000,2
CUVALLES,LICENCIATURA EN TURISMO,32,32,40,73.3600,2
SUV,BACHILLERATO GENERAL POR AREAS INTERDISCIPLINARIAS,137,116,128,65.0000,2
SUV,LICENCIATURA DE MERCADOTECNIA DIGITAL,299,257,262,60.0000,2
SUV,LICENCIATURA EN ADMINISTRACION DE LAS ORGANIZACIONES,328,282,297,66.1000,2
SUV,LICENCIATURA EN BIBLIOTECOLOGIA Y GESTION DEL CONOCIMIENTO,28,25,25,68.0000,2
SUV,LICENCIATURA EN DESARROLLO DE SISTEMAS WEB,188,155,167,65.0000,2
SUV,LICENCIATURA EN DESARROLLO EDUCATIVO,150,123,138,60.0000,2
SUV,LICENCIATURA EN GESTION CULTURAL,90,79,86,60.0000,2
SUV,LICENCIATURA EN PERIODISMO DIGITAL,19,16,19,60.0000,2
SUV,LICENCIATURA EN SEGURIDAD CIUDADANA,31,28,29,68.2000,2
SUV,LICENCIATURA EN TECNOLOGIAS E INFORMACION,155,135,146,60.0000,2
TLAJOMULCO,INGENIERIA BIOMEDICA,41,35,35,122.3800,2
TLAJOMULCO,INGENIERIA CIVIL,107,35,35,150.2500,2
TLAJOMULCO,INGENIERIA MECATRONICA,129,35,35,148.6300,2
TLAJOMULCO,LICENCIATURA EN ADMINISTRACION,182,70,70,137.3333,2
TLAJOMULCO,LICENCIATURA EN ENFERMERIA,178,70,70,133.5167,2
TLAJOMULCO,LICENCIATURA EN NEGOCIOS INTERNACIONALES,141,70,70,134.8033,2
TLAJOMULCO,LICENCIATURA EN NUTRICION,99,70,70,119.4867,2
TLAJOMULCO,MEDICO CIRUJANO Y PARTERO,648,70,70,172.2500,2
TLAJOMULCO,INGENIERIA EN BIOTECNOLOGIA,42,40,40,108.5833,2
TLAJOMULCO,INGENIERIA EN DISEÑO INDUSTRIAL,53,40,40,115.5000,2
TLAJOMULCO,LICENCIATURA EN TERAPIA FISICA,223,120,120,128.5600,2